"Station","DBKEY","Daily.Date","Data.Value","Qualifer","Revision.Date","Date"
"S77_T","65461","25-SEP-2011",11.15,"","22-FEB-2021",2011-09-25
"S77_T","65461","26-SEP-2011",11.33,"","22-FEB-2021",2011-09-26
"S77_T","65461","27-SEP-2011",11.32,"","22-FEB-2021",2011-09-27
"S77_T","65461","28-SEP-2011",11.31,"","22-FEB-2021",2011-09-28
"S77_T","65461","29-SEP-2011",11.28,"","22-FEB-2021",2011-09-29
"S77_T","65461","30-SEP-2011",11.17,"","22-FEB-2021",2011-09-30
"S77_T","65461","01-OCT-2011",11.16,"","22-FEB-2021",2011-10-01
"S77_T","65461","02-OCT-2011",11.3,"","22-FEB-2021",2011-10-02
"S77_T","65461","03-OCT-2011",11.22,"","22-FEB-2021",2011-10-03
"S77_T","65461","04-OCT-2011",11.24,"","22-FEB-2021",2011-10-04
"S77_T","65461","05-OCT-2011",11.3,"","22-FEB-2021",2011-10-05
"S77_T","65461","06-OCT-2011",11.23,"","22-FEB-2021",2011-10-06
"S77_T","65461","07-OCT-2011",11.22,"","22-FEB-2021",2011-10-07
"S77_T","65461","08-OCT-2011",11.43,"","22-FEB-2021",2011-10-08
"S77_T","65461","09-OCT-2011",11.64,"","22-FEB-2021",2011-10-09
"S77_T","65461","10-OCT-2011",11.48,"","22-FEB-2021",2011-10-10
"S77_T","65461","11-OCT-2011",11.34,"","22-FEB-2021",2011-10-11
"S77_T","65461","12-OCT-2011",11.4,"","22-FEB-2021",2011-10-12
"S77_T","65461","13-OCT-2011",11.58,"","22-FEB-2021",2011-10-13
"S77_T","65461","14-OCT-2011",11.57,"","22-FEB-2021",2011-10-14
"S77_T","65461","15-OCT-2011",11.48,"","22-FEB-2021",2011-10-15
"S77_T","65461","16-OCT-2011",11.16,"","22-FEB-2021",2011-10-16
"S77_T","65461","17-OCT-2011",11.23,"","22-FEB-2021",2011-10-17
"S77_T","65461","18-OCT-2011",11.38,"","22-FEB-2021",2011-10-18
"S77_T","65461","19-OCT-2011",11.16,"","22-FEB-2021",2011-10-19
