"date","cloud.area","bloom.area.m2","vis.bloom","median","mean","min","max","sd","N","cloud.area.per","bloom.area.mi2","bloom.area.per","date2"
2021-08-01,12150000,436410000,9.5560245,194088.587759278,325845.614165076,6486.34433548237,2466039.33723434,347174.62686843,4849,0.00673364270549974,168.49877382,24.1862470214579,2021.58082191781
2021-08-02,135270000,321930000,10.63324908,255858.588690565,404564.146875804,6668.06769213622,2754228.70333817,421127.605304002,3577,0.0749678887878971,124.29781686,17.8416592278315,2021.58356164384
2021-08-04,0,0,0,NA,NA,Inf,-Inf,NA,0,0,0,0,2021.58904109589
2021-08-05,238140000,132930000,4.8648852,319153.785510076,428679.545266968,6486.34433548237,2032357.01093622,379618.587734545,1477,0.131979397027795,51.32453886,7.36710390816527,2021.59178082192
2021-08-06,42750000,364230000,26.89586532,293764.965196153,487203.19459755,6668.06769213622,2398832.91901949,476431.139352688,4047,0.023692446556388,140.62993146,20.1859644660425,2021.59452054795
2021-08-08,214200000,89910000,16.01937198,963829.023623971,906384.62455183,7046.93068967147,1721868.57498601,411905.353780831,999,0.118711626956218,34.71443082,4.9828956020698,2021.6
2021-08-09,592830000,139590000,14.83789986,731139.083483417,728462.30310119,7655.96606911255,2089296.13085404,396074.692488608,1551,0.328551885193532,53.89597818,7.73620728609636,2021.60273972603
2021-08-10,164610000,0,0,NA,NA,Inf,-Inf,NA,0,0.0912283889508075,0,0,2021.60547945205
2021-08-12,161010000,15480000,0.06949836,229086.765276777,308737.330699155,30478.9498962798,1076465.21362983,210966.455541775,172,0.0892332355565854,5.97685896,0.857915959515522,2021.61095890411
2021-08-13,245790000,0,0,NA,NA,Inf,-Inf,NA,0,0.136219097990517,0,0,2021.61369863014
2021-08-14,0,0,0,NA,NA,Inf,-Inf,NA,0,0,0,0,2021.61643835616
2021-08-16,107730000,191520000,5.212377,263026.799189538,378382.910069354,6854.88226452661,2466039.33723434,360812.294080572,2128,0.0597049653220977,73.94625504,10.6142160572618,2021.62191780822
2021-08-17,25380000,421380000,0.41699016,164437.172321493,218288.230264408,6486.34433548237,1419057.52168909,189168.034435495,4682,0.0140658314292661,162.69566076,23.3532704793702,2021.62465753425
2021-08-20,0,513180000,0.38224098,128233.058265602,161104.795021878,6486.34433548237,1458814.26027535,136617.182963205,5702,0,198.13982436,28.4409116346367,2021.63287671233
2021-08-21,5850000,5.13e+08,0.3474918,114815.362149688,151327.615941081,6486.34433548237,1976969.64011186,132075.948853455,5700,0.00324212426561098,198.070326,28.4309358676656,2021.63561643836
2021-08-23,0,0,0,NA,NA,Inf,-Inf,NA,0,0,0,0,2021.64109589041
2021-08-24,729630000,1170000,0,66069.3448007596,62258.2256306282,21281.3904598271,97274.7223776964,24976.5167020325,13,0.404367714173973,0.45173934,0.0648424853122197,2021.64383561644
2021-08-25,285030000,3150000,0,164437.172321493,176525.398465942,118032.063565173,235504.928389601,36241.270018792,35,0.157966269987538,1.2162213,0.174575921994438,2021.64657534247
2021-08-27,0,0,0,NA,NA,Inf,-Inf,NA,0,0,0,0,2021.65205479452
2021-08-28,490320000,60480000,0,114815.362149688,129048.182575767,7447.31973905989,636795.520907916,70155.6179678038,672,0.271739892293056,23.35144896,3.3518577022932,2021.65479452055
2021-08-29,459270000,13770000,0,173780.082874937,172325.827544792,52966.3443891658,310455.958812836,68265.4114052716,153,0.25453169426789,5.31662454,0.76314617328997,2021.65753424658
2021-08-31,0,0,0,NA,NA,Inf,-Inf,NA,0,0,0,0,2021.66301369863
2021-09-01,14760000,122940000,0,44874.5389933132,69141.7297727419,6486.34433548237,554625.71295791,64160.5944160238,1366,0.00818012891631079,47.46737988,6.81344884126862,2021.66575342466
2021-09-02,554940000,0,0,NA,NA,Inf,-Inf,NA,0,0.307552895719343,0,0,2021.66849315068
2021-09-04,51480000,262440000,0,48752.8490103386,60898.7810776602,6486.34433548237,337287.308658869,45387.2103318263,2916,0.0285306935373767,101.32860888,14.5446682438794,2021.67397260274
2021-09-05,4320000,256680000,0,38018.9396320561,55243.5785295694,6486.34433548237,457088.189614875,52150.1209701107,2852,0.00239418407306657,99.10466136,14.2254437008039,2021.67671232877
2021-09-06,203760000,0,0,NA,NA,Inf,-Inf,NA,0,0.112925682112973,0,0,2021.67945205479
2021-09-08,0,306360000,0,51522.8644581756,74535.4445914424,6486.34433548237,586138.164514028,69017.9874383647,3404,0,118.28620872,16.9787553848304,2021.68493150685
2021-09-09,9540000,110430000,0,38018.9396320561,50138.2332620821,6486.34433548237,346736.850452532,43699.5438868742,1227,0.00528715649468868,42.63724386,6.12013303677643,2021.68767123288
2021-09-10,0,0,0,NA,NA,Inf,-Inf,NA,0,0,0,0,2021.6904109589
